Country,Issuer,Denomination,Year,Mintmark,Subject,"Value, USD (CoinSnap) ",Krause Number,Value (MY),Grading,Note,Obverse photo,Reverse photo
RU,Russia,50 kopeks,1998,CП,Common series,0.03,,,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/194657650/a0249b40-5250-4aa3-b99a-f9531e4bcaf3.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/194657650/4e7f067e-f322-4a34-98fd-b308e5b3e0ab.png
RU,Russia,10 kopeks,1997,CП,Common series,0.09,,,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/194657650/a281a1cd-295e-4a7d-92f8-5f6e174bed20.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/194657650/57a9315d-a828-4f89-a489-a1c02d634c79.png
RU,Russia,5 kopeks,1997,CП,Common series,0.09,,,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/194657650/e2ff21de-3ecb-4e7b-b83b-5b15faf4cc6a.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/194657650/573e6315-7d2e-45a3-a807-9d7593505ec5.png
RU,Russia,50 rubles,1993,MMД,Common series,0.26,,,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/194657650/4ea1bd9d-7476-4118-a628-6c8a30afda0c.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/194657650/8fa4f018-60f6-4030-910f-5d24abf9f344.png
RU,Russia,20 rubles,1992,LMD,Common series,0.23,,,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/194657650/7507a385-9c0a-48ff-8460-f2062780944c.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/194657650/57efc9be-5aae-4c14-a81d-ac0c745cc0ee.png
RU,Russia,10 rubles,1993,MMD,Common series,0.17,,,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/194657650/6bc72937-7cb5-4aa2-8658-f1804e66b2b4.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/194657650/93f3119b-908f-4820-ab2d-9338ce8bb670.png
RU,Russia,5 rubles,1992,M,Common series,0.14,,,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/194657650/8db99d52-f312-400c-8881-f16a0d334a5e.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/194657650/18a733b1-99aa-41a2-a7e7-8c659257af92.png
RU,Russia,1 ruble,1992,L,Common series,0.13,,,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/194657650/e1588a80-ce73-460a-b164-1aa35b10d6a2.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/194657650/3afe4024-6f64-4983-a897-15535f68cf4f.png
UA,Ukraine,1 hryvnia,1996,No mintmark,Common series,2.71,KM# 8a,,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/194657650/d203fa90-4158-4adc-8250-e669d15abc7c.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/194657650/6313dbd7-ff70-4a6f-9b04-e0bf5df4cc5a.png
UA,Ukraine,50 kopiyok,1992,No mintmark,Common series,0.03,KM# 3.3a,,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/194657650/9f89807d-8bd1-4174-8682-1f930d0b92b6.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/194657650/87889e19-057e-4fde-86de-4e6f72bc4ffc.png
UA,Ukraine,25 kopiyok,1992,No mintmark,Common series,0.11,KM# 2.1a,,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/194657650/b918d444-26dc-4cb7-9ed9-d27dce9e39fc.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/194657650/8cc702ef-f3ed-4660-8d40-09720d47d6b5.png
UA,Ukraine,10 kopiyok,1992,No mintmark,Common series,0.07,KM# 1.1a,,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/194657650/d570810d-8213-4d77-8935-ee42b32aff8e.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/194657650/df6a9dc0-91c6-44ee-827e-439d36d28df7.png
